,Input.selftext,Answer.crowd_input
187,"I just watche Funny Games an some scenes ( &gt;! the couple trying to figure out what to o, who to call, how to get the phone to work etc.. !&lt; ) got me wonering if there were any horror movies showing how the characters hanle surviving? Since most movies en when the horror is over. Do you have any suggestions ?","phone to work, characters hanle surviving, Funny Games"
188,"Don't care much about anything else, romance or fantasy genre is just a bonus. Also like that 90s, 2000s an early to mi 2010s aesthetic but that's totally not necessary.","not necessary, r fantasy genre"
189,"Recently have evelope more of an interest in this perio’s military gear an firearms. I’ve seen a lot of films set uring, an focusing on, the Global war on Terror, Desert Storm, etc, but I’m not much intereste in esert warfare anymore.

Looking for something similar in feel to Behin Enemy Lines, or the military group in the secon half of 28 Days Later. European military is cool.","28 Days Later, Behin Enemy Lines"
190,"one of the biggest cliche in horror movies is Dumb an low IQ characters making umb ecisions for no goo reason, an i know it just a lazy way for the movie maker to move the story forwar without getting creative, but i am sick of it! 

any horror movies with smart characters or it least people with common sense?",","
191,"Watche arrival yesteray for the first time, love it. Is istrict 9 any goo because Im in the alien moo?
Non-alien stuff is also welcome

I watche the basics alreay like: interstellar, memento, onnie arko, moon (which I heavily recommen) etc.","memento, moon, moon (which I heavily recommen) etc, interstellar, istrict 9, arrival interstellar, arrival, onnie arko"
192,"Im looking for terror Movies like hereitary, Smile, vivarium, the autopsi of jane oe, as above so below…
Coul u help me to fin some similar films?
Thx :3","vivarium, as above so below, the autopsi of jane oe, hereitary, Smile"
193,"I just saw The Menu yesteray an it was an amazing experience. I love horror movies, especially like this one, where there’s no real “jump scares,” just a terrifying experience altogether. Are there any other horror movies that have a similar theme?",The Menu
194,"Looking for movies with real comeic value that on’t take themselves too seriously. The two I mentione above are just so fun to watch with a group of friens, I’ like some more suggestions!",","
195,"Nothing else is relevant, woul prefer 2 or clay animation to 3. Also prefer it to be with colour an not a mute film.",","
196,"A movie where the main character hies his past life an his real ientity an unveils it in some part of the film. Movies like John Wick, Noboy, Taken an Pig are really goo examples. Suggest some movies similar to these.","John Wick, Noboy, Pig, Taken an Pig, Taken"
197,"I really enjoye Pulp Fiction, which surprise me because I in’t love Fight Club as much as other people(still like it very much might nee a rewatch) an many people say watch fight club when you ask them for movies similar to pulp fiction…anyways As I sai I’m just looking for a movie that’s as goo as Pulp Fiction.

Thanks in avance :)","Pulp Fiction, Fight Club"
198,"Funny + Feel Goo movies. Possibly coming of age, not necessary though. Movies where the protagonist has a very noticeable an well earne character arc.",","
199,"I’m looking for movie recommenations about people, who islike their hometowns or feel the nee to leave their hometowns ue the lack of culture or opportunities in their lives.
It’s for my bachelors project, so I nee to get eeper into the subject through culture an i will accept any recommenations.
Thank you in avance ",","
200,"I'm looking for films from the new Hollywoo era that are unerseen an unerrate that are easy to miss, an your personal ""iscoveries"" from that era. My own personal favourites are films like ""Ba Company"" an ""Chilly Scenes of Winter"".","Ba Company, Chilly Scenes of Winter"
201,"Not necessarily bloo an gore scary, an I fin jump scares tacky, but something that will make me want to leave the lights on when I sleep.",","
202,"looking for pick me up movies like that are optimistic towars people that lost hope or became corrupte by society - an eventually change. (Elf, Punch Drunk Love) looking to change my perspective an listen to ifferent worl views","Punch Drunk Love, Elf"
203,"Hello everyone! I'm looking for a movie that kina like ""AMONG US"". Where people are put together in a place an only-one or a group of people survives in the en. I've watche some films/series similar to this CIRCLE, HUNGER GAMES, ALL OF US ARE DEAD, SWEET HOME, ALICE IN BORDERLAND, SAW, CUBE, EXAM, to name a few. Does anyone know or can recommen same kin of vibe movies with goo PLOT TWIST. TYIA","SAW, SWEET HOME, ALL OF US ARE DEAD, CIRCLE, HUNGER GAMES, ALICE IN BORDERLAND, EXAM, CUBE, AMONG US"
204,"I am going on a shoppingspree an I love those kin of movies so heres what I like an if you coul suggest things that are similar, thanks :D

sherlock

win river

prisoners

knives out 1&amp;2

only murers in the builing

the girl with the ragon tattoo

in orer of isapearence

hannibal

se7en

the secret in their eyes

the invisible guest

the boy

tell no one

memories of murer

true etective

mare of easttown

bakcyar

sharp objects

the five

chinatown

l.a. confiential

ientity

Where the Crawas Sing

the juge

the lincoln lawyer

lucky number slevin

heat

Ba Times at the El Royale

Ba Times at the El Royale

minhunter

the usual suspects

thank you for the suggestions :D","chinatown, the five, the judge, the secret in their eyes, l.a. confidential, heat, Where the Crawdads Sing, knives out 1&2, true detective, sherlock, the invisible guest, lucky number slevin, sharp objects, backcountry, in order of disappearance, The Usual Suspects, se7en, only murders in the building, Bad Times at the El Royale, mare of easttown, Mindhunter, the girl with the dragon tattoo, prisoners, hannibal, the boy, wind river, memories of murder, identity, tell no one, the lincoln lawyer"
205,"Hey, I'm looking for some motivating movies where the protagonist comebacks from a very ark place  an achieves his goals when people thought he was a joke an a loser an that there is no way he coul achieve something.",","
206,"Kin of as the title states. I’m home sick toay with not much to o an I’m looking for some movies to watch an pass the time.

I’ve really enjoye the following movies:

Coherence 
Annihilation
Arrival
Ex Machina
Interstellar
Sorry To Bother You (what a rie)
The Martian 
Black Phone 
20th Century Women
The Floria Project

So I suppose my interests are all over the place, if anyone has any recommenations base on any of the movies above, that’ be great!","Arrival, Interstellar, Ex Machina, Annihilation, The Martian, Coherence, The Floria Project, The Florida Project, 20th Century Women, Sorry To Bother You, Black Phone"
207,"im watching pretty little liars right now: original sin an saly i spoile it for myself, Im still gonna watch it though im looking for some other series (or movies) like this, I have watche One Of Us Is lying an SCREAM Series, lookin for more","SCREAM, pretty little liars, One Of Us Is lying"
208,"I'm talking strictly total box office gross subtracte by a film's buget

I'm guessing it's either John Carpenter or Wes Anerson, but I woul lean towars Wes, given that most of his films are stylize to the extent that mass auiences wouln't enjoy his work, while Carpenter has mae some all-time great films that appeal to a lot of people. Mainstream experimental irectors like Linklater woul probably be also up there",None
209,"Hi, every year our colleagues get together for an annual event an every year I make a small funny short film about the event. This year, I want to make some funny eits where I cleverly cut scenes together that will make up the journey of one of our team members who is late catching the bus to the event.   


So I am looking for scenes where the actors are having a conversation, where i can cut out one of the camera angles so that it looks as if my colleague is having a conversation with the actual actor in the film. So I nee scenes where only one person is in the angle at any given time. So far I have scenes from Fast &amp; Furious, Limitless an The Gofather.  


Any ieas from you movie buffs woul help me a LOT.  


Thank you","The Gofather, The Godfather, Limitless, Fast & Furious"
210,"I remember seeing few ifferent like these but I on't ever their names.  I'm not looking for anyone to fin me the ones I saw. But just similar ones in general. 

I'm not sure is national fairy tale is the correct term but like a col story from that country that's kin of famous or something or tol often or has been somehow officially been picke as the countries national story? Ik but I hope this isn't too vague",","
211,"It occure to me that LA Confiential starts off right after Gangster Squa ens. This makes it an unintente sequel to Gangster Squa, especially consiering that LA Confiential came out over a ecae earlier. I woner if there are any other films that coul be unintene sequels to other films?","Gangster Squa, LA Confiential"
212,"Hey guys, I’m looking for movies which give perspective about life an even love. About how one shoul never give up. Movies like, The Goowill Hunting, ea poets society, shawshank reemption.
Also I’ve hear Ryan Gosling movies are very goo, lemme know which if he has one a movie of the kin.","The Goowill Hunting, shawshank reemption, Shawshank Redemption, Dead Poets Society, The Goodwill Hunting, poets society, The Good Will Hunting"
213,"A movie about breaking up or breaking off. Not neccesarily romantic relationship, in fact especially not romantic relationships. (I went through a irl banshees scenario).",","
214,"I just finishe watching 3 movies toay, an none of them pique my interest.

I woul love to watch movies with great twists an cinematography. The genre oesn't really matter, but thriller, psychological, or mystery woul be great. If none of the genres mentione are in your movie recommenations, that woul be awesome, as I also like to explore genres that I might enjoy, so please o rop your recommenations.

Ex.: Devil (2010), Where The Crawas Sing (2022), Shutter Islan (2010), Us (2019), The Cabin In The Woos (2011), Last Christmas (2019).

I on't min crying, laughing, getting ma, or getting scare, but most importantly, I want to be shocke. Thank you, an your recommenations will be greatly appreciate.","The Cabin In The Woos, Where The Crawdads Sing (2022), Devil, Us (2019), Last Christmas (2019), Shutter Islan, Last Christmas, The Cabin In The Woods (2011), Us, Shutter Island (2010), Devil (2010), Where The Crawas Sing"
215,I am looking for movies where because of circumstances two lovers become strangers because conitions ont allow them to stay together as lovers.,","
216,"Hello everyone, 

I am looking for some horror film/series suggestions.. I have seen quite a few of the 'well known' horrors. 

The horror films which I have really enjoye are the Insiious films, The Conjuring films.. also films like the Descent, REC, 28DL, Worl War Z, Train to Busan, A Quiet Place etc. The series I have really enjoye recently are Haunting Of Hill House, Kingom, All Of Us Are Dea... Quite a broa range. My favourites are zombies an paranormal if you couln't tell lol.

I ont min some gore. I have really enjoye the Korean films/series have seen too. 

The films I i not enjoy so much.. The Witch, Misommar, The Lighthouse. I just really in't enjoy these types of films.

Woul really appreciate some suggestions if anyone has any as I feel like I have seen a lot of the more 'well known' horror series an films. 

Thank you ","28 Days Later, Worl War Z, Descent, The Conjuring Descent, A Quiet Place, The Descent, Insidious, A Quiet Place The Witch, REC, Kingdom, The Conjuring, World War Z, Train to Busan, All Of Us Are Dead, The Witch, Haunting Of Hill House, The Lighthouse, 28DL, Misommar"
217,"I feel like all three of those movies kin of have a zany, riiculous sie to them but it’s also a fast pace exciting aventure movie. Are there any other movies like that?",","
218,"My favorite type of movie an I nee more! Anything set in an aroun the stuio system. Any era will o. 

Some of my favorites are: 
LA Confiential
Chinatown
Hail Caesar 
Babylon 
The Player (not ol Hollywoo but fits the bill)
Singin in the Rain 
Sunset boulevar
All about eve
Once upon a time in Hollywoo 


What else is out there????","Caesar Babylon, Chinatown, All About Eve, LA Confidential, Sunset boulevar, All about eve, The Player, Once Upon a Time in Hollywood, onfiential Chinatown, Babylon, Sunset Boulevard, Singin in the Rain, Once upon a time in Hollywoo, Hail Caesar, LA Confiential"
219,"I really enjoye Raw, In My Skin, Martyrs, Revenge, High Tension, The Skin I Live In, an have seen Titane, Frontier(s), Insie, all of Gaspar Noe's movies. Hoping there are some goo ones left!

Preferably something moern-ish (not Tetsuo or The Fly). Also not looking for pure torcher porn... there has to be at least some semblance of a story.","Titane, Tetsuo, In My Skin, Frontier(s), The Fly, Raw, The Skin I Live In, Insie, Martyrs, aw, Revenge, High Tension"
220,"I like monsters, specially when they have a great an original esigns, I love when movies gather many creatures like Hellraiser, In the mouth of maness an even Beetlejuice.
Also love when they use practical effects, like The thing, return of the living ea, Aliens an a nightmare in elm street.
So I'm looking for recommenations of movies with that characteristics.","In the mouth of maness, A Nightmare on Elm Street, Hellraiser, In The Mouth of Madness, The Thing, a nightmare in elm street, Nightmare on Elm Street, Beetlejuice, The thing, Return of the Living Dead, Aliens, return of the living ea"
221,"I'm looking for relatively recent (past 20 years) movies with gritty fight choreography. Omes that come off super brutal. I remember watching some show, Dareevil, where I wasn't really into it, but was efinitely captivate by the brutality. I swear I'm not a crazy person, I've just recently starte oing stunts an stage fighting an want to o some research lol","Daredevil, Dareevil"
222,Iam researching  for writing my screenplay about a triangle love story . Where two guys an a girl are involve. How one guy gets others girlfrien. Any movie suggestions?,","
223,"My first thought an to start things rolling woul efinitely be the wicker man remake hans own.

Looking for a fun time so I ll watch the top vote if this gets many


Sorry if aske alot new to posting","the wicker man, wicker man"
224,"Recommen some movie where the the movie is spoof of a particular serious movies.

Don't inclue movies like scream, where inclue all elements of horror movies or a seperate paroy movie.

Like , 50 shaes of black is paroy of 50 shaes of grey... Meet the Spartans is a paroy of Spartacus.","Meet the Spartans, 50 Shades of Black, Spartacus, Scream, 50 shaes of black, 50 Shades of Grey, 50 shaes of grey"
225,"Looking for suggestions for movies about street kis in the city. They can be gritty an realistic, or stylize an campy, or you can suggest one of each.",","
226,"This souns like a weir request, but lately, I’ve been watching a lot of spy an conspiracy movies an one of my relatives has been watching sports movies whenever I see them. I came up with the weir suggestion when I ranomly put those two together.

So… yeah. Anyboy aware of any movies like that? If not, it’s cool. ",","
227,"Not been feeling amazing lately an I just want to cry for an hour, what are some movies that are genuinely goo an sa without it just being someone ying. Will watch any genre or language",","
228,"What’s that one hien gem of a movie that you will recommen knowing the person has most likely never seen or hear of but it’s amazing ?

Here’s one from me: Castaway on the Moon",Castaway on the Moon
229,"Kina bumme out. Not sure what to o with my life or myself. Hate my career. Late 20s-30s.

Looking for movies about men who are lost an kina figure it out in the movie or something

Looking for some hopeful feel goo movies that have meaning an will make me think.",","
230,"I just saw Fall an it is exactly my Jam. I love movies that give sweaty palms, where the suspense is real, the story is simple an interesting.","Fall, My Jam"
231,I am looking for movies set in a similar time perio. Mainly something with mystery an some suspense. Going for something with no moern tech. Any ieas or suggestions are appreciate!,","
232,"I am out of ieas, I have almost watche movies with friens in the last 4 years most where action, comey or Bollywoo. 

I want to watch a goo pirates of the Caribbean or Harry Potter style movies. I on’t know how to name the genre. Any recommenations for such kin of movies? 

Please recommen anything but serious or rama movies. I am alreay miserable, I want to watch enjoyable movies. 

Thank you.","pirates of the Caribbean, Harry Potter"
233,Some examples woul be Laybir or Ten Inch Hero. Really enjoye Beautiful Boy too but it was on the saer sie. Looking for movies that have that sunny California feel to it (not the city / LA / Hollywoo vibe),"Laybir, Ten Inch Hero, Beautiful Boy"
234,"So want to get more into movies an see which ones are efinitely worth watching. I woul say the original star wars trilogy, iniana jones trilogy, lor of the rings trilogy, the gofather, se7en, Chinatown, big trouble in little China, une 2021, blae runner movies, ark knight trilogy, the batman 2022, top gun maverick, everything everywhere all at once, the matrix, jurassic park are all up there.","the matrix, se7en, iniana jones trilogy, ark knight trilogy, Chinatown, the gofather, the original star wars trilogy, top gun maverick, une 2021, the batman 2022, lor of the rings trilogy, indiana jones trilogy, star wars trilogy, blade runner movies, the godfather, blae runner movies, jurassic park, everything everywhere all at once, big trouble in little China"
235,"Mine personally was The Black Hole.  As a little ki it really got me thinking about the epths of space an was so futuristic an the robot was cool to me.  Looking back it's not my favorite, but at one time it was, an I've been hooke since.  (either that or massive amount of late night monster movies of which I cannot remember the names)  So what is your early entry into Sci Fi?",The Black Hole
236,"It can go in any irection. Maybe she has an abortion, she keeps it, she goes the aoption route, or something more tragic… Anything!",","
237,"Similar to:
Black Summer
28 Days Later
Train to Busan
Chilren of Men
The Girl With All the Gifts
The Kingom
I Am Legen
Alice in Borerlan 
#Alive
Cargo 
Cloverfiel 
Black Mirror Episoe: “Hate in the Nation”
Ma Max: Fury Roa
Rec
A Quiet Place

Thanks in avance for any an all suggestions!","28 Days Later, I Am Legen, The Kingdom, Chilren of Men, Children of Men, #Alive, A Quiet Place, REC, Black Mirror Episoe: “Hate in the Nation”, Quiet Place, The Kingom, Mad Max: Fury Road, Black Summer, Alice in Borerlan, Train to Busan, Ma Max: Fury Roa, Alice in Borderland, Cargo, Rec, Cloverfiel, Black Mirror Episode: “Hated in the Nation”, Cloverfield, The Girl With All the Gifts, I Am Legend"
238,"Out of all the movies, what are the best performances you've seen?

Can list multiple, or even multiple actors/actresses in the same movie.

Can list non English speaking movies, can list black an white, animate, stop-motion, or live-action.",","
239,"Been pretty isappointe with a lot of recent ones so am looking for some that are nearly perfect or are in your opinion, mine woul be the original star wars trilogy, revenge of the sith, rogue one, iniana jones trilogy, james bon movies, mission impossible movies, gozilla vs kong, top gun movies, most of the marvel movies although some recent ones have been isappointing, batman movies, avatar movies, matrix trilogy, ma max movies, think the lor of the rings an hobbit movies count, willow 1988.","star wars, hobbit, top gun, lor of the rings, avatar, rogue one, iniana jones trilogy, gozilla, lor of the rings an hobbit, matrix, revenge of the sith, mission impossible, willow, ma max, james bon movies, marvel, batman, gozilla vs kong"
240,"something like this movies:

**Nothing to Lose (1997)**

**Ronin 1998**

**No Country for Ol Men 2007 (not 90's but goo example)**","No Country for Old Men, No Country for Ol Men 2007, Ronin, Nothing to Lose, Nothing to Lose (1997), No Country for Ol Men, Ronin 1998"
241,"Basically, most movies have some sort of twist or way to explain away how a criminal gets away or why they got caught without it actually being satisfying or involving game theory. From beginning to en, there shoul be a consistent threa of logic one way or the other. Nothing like ""it was all a ream"" etc.",","
242,"I watche a movie with my sister back in 2019, it was at home. I know this souns weir but the movie i not feature Samuel L Jackson. The reason I say that is because the black people in it referre to each other as Mother Fuckers. But it was like a classy way, I think the movie was set in 1950’s or 60’s… the theme was about the racism that black people suffere even as professional an successful business men. Does anyone know the movie I’m talking about??! (I know for absolute certain Samuel was not in it by the way.) thank you in avance!",None
243,Me (F 28) an my bf (M 26) want to watch a movie set in the Mile East. Preferably has a military plot but oesn’t have to be pro American. We enjoy all genres. Thank you!,","
244,"No movie has ever left me reaming as much as this one, I want more! It oesn't nee to be set in the past necessarily but extra points if it is.

Thank you!",","
245,"just as the the title says. A smart or har working protagonist or just a movie that motivates you  


Movies like:

 The Martian  
Miss Sloane  
The Big Short  
The Banker  
Steve Jobs","Miss Sloane, The Banker, The Martian, The Big Short, Steve Jobs"
246,"I'm searching for short movies (less than 90min) with cool gimmicks or great plot twists. A grest examples for cool gimmicks woul be 'Locke' (one actor, one location, one telephone) or 'Beyon the Infinite Two Minutes' (unusual time travel). Saly I on't have any great examples for short movies with goo plottwists. Maybe something like Jugement or Taipei Suicie Story.  
  
Basically I'm searching for movies with clever/creative/surprising ieas. Ieas that maybe wouln't work with a longer runtime.","Jugement, Beyon the Infinite Two Minutes, Beyond the Infinite Two Minutes, Taipei Suicide Story, Locke, Taipei Suicie Story, Judgment"
247,"Movies that capture the vibe or woul fit with music of artists like The Doors, Quicksilver Messenger Service, Love, The Animals, Chuck Berry, Bo Diley, Canne Heat, Howlin Wolf, etc. Basically, any rock or blues music from the 50s to the early 70s.

Coul be about anything.","Love, Chuck Berry, The Animals, Quicksilver Messenger Service, Howlin Wolf, Bo Diley, The Doors, Canne Heat"
248,"In the Lor of War the intro montage follows the life of a bullet from when it is mae in a factory an the journey it takes before it is eventually use to shoot someone.

I'm looking for montages that are similar where we follow the life of inanimate object. The sequence oesn't nee to use The oggy camera technique use in the LoW. Ieally it shows the object from creation all the way to the en of the objects lifespan.

Movies / TV Shows / Commercials are all welcome!","Lord of War, the Lor of War"
249,"I’m in the moo to watch a horror movie that clearly uses some Freuian Psychology in it. I’ prefer a more art house movie with inie vibes as oppose to a big buget blockbuster.

I feel like A Cure for Wellness might match this criteria, for example.",A Cure for Wellness
250,"I’m feeling a bit nostalgic toay, an I want to watch a movie that’ll make me feel warm an fuzzy, but at the same time tear my heart out.",","
251,"I'm looking for movies an TV shows about the American Revolution an the Inepenance of The Unite States. 

So movies an shows like The Patriot, The Last of the Mohicans, John Aams an Turn.

Thank you.","The Last of the Mohicans, The Patriot, Turn, John Aams"
252,"I'm looking for movies that preferably focus on a necromancer character, but a general focus on necromancy coul potentially work too.  Basically, I've been reaing Gieon the Ninth, so now I'm looking for other meia that follow necromancers as well.  I've been surprise at the seeming lack of movies that follow necromancers or feature necromancy as a central part of a character or worl.

The recommenations I've receive so far inclue:

* Spellboun (1941)
* Necromancer 1988
* Warlock (1989)
* Phantasm
* the Mythica series

Thank you!","Mythica, Spellboun (1941), Necromancer, Warlock (1989), Gieon the Ninth, Phantasm, Necromancer 1988, Phantasm  the Mythica series, Spellboun, Warlock, the Mythica series"
253,"Basically I am the type of person who hasn't seen very many films. Even as a chil, I mostly rea books. I want to broaen my horizons, see something that I will love.

Tell to me some films you love, something you recommen, it will blow my min, it is a classic, everyboy must see this film - anything like this.

So far, in this almost 2 week perio, I have seen Eega in the first week (a Tollywoo film about a guy who is murere in jealousy an then returns as a fly to exact his revenge), an in the secon week I have seen Ivan Vasilievich Changes Occupation (a Soviet comey about the invention of a time machine leaing to Ivan the Terrible being brought to the present an the meek rule abiing builing superintenent, also Ivan, being sent to the past an having to post as Ivan the Terrible). 

I'm truly open to try anything.","Ivan Vasilievich Changes Occupation, Eega"
254,What are some off the beaten path films about the Holocaust that aren't Schinler's List/Life Is Beautiful/The Pianist?,"The Pianist, Life Is Beautiful, Schindler's List, Schinler's List"
255,"What are some of the the funniest/best movies with comey similar to these movies  an/ or the actors that play in them( Seth rogen, James Franco, will farrell",","
256,"When I look up movies on the subject all I usually fin are films about the real life effects of the illness an the impact it as on their lives an the lives of their families. This is too epressing for me atm. For reference, three similar films that I really like are Images (1972), Spier (2002), an Clean Shaven (1993).","Images (1972), Spier, Clean Shaven, Clean Shaven (1993), Images, Spier (2002)"
257,"Like Threas but set in the mile ages. It can be a fictitious worl, like LotR. 

ont know any movie like this so... if you know any let me know! thanks","The Lord of the Rings, Threas, LotR"
258,So I recently rewatche Metal Lors an I'm wonering if there are more movies with the comey-ish Metal movies the age rating isn't really an issue just something I coul watch,Metal Lors
259,"I on't want to give any specific examples, because that might lea to people giving movies about similar subjects. But when you hear this, what is the first movie that comes to min? You on't even necessarily have to like the movie or think it's goo either, but it just has to explore an elve into a very particular subject, maybe even something trivial or munane.",","
260,I'm looking for something else akin to No Country where the main character or story changes uring the movie. Can be a complete tonal shift or something smaller.,"No Country for Old Men, No Country"
261,"So movies with massive scope, sci fi or fantasy, action an aventure, great characters. Something like the marvel movies, c movies, star wars movies, lor of the rings movies, John Carter, avatar movies, transformers movies, jupiter ascening, star trek Kelvin timeline, monster verse movies, matrix movies, willow. So basically just big blockbuster spectacle fun.","star wars, lor of the rings, avatar, Avatar movies, Transformers movies, Monster Verse movies, matrix, Star Trek Kelvin timeline, star wars movies, John Carter, Jupiter Ascending, willow, star trek, Willow, jupiter ascening, Matrix movies, marvel movies, monster verse, transformers, Lord of the Rings movies"
262,"Films about or featuring characters that have a ifficult time unerstaning social norms, always saying or oing the wrong things at the wrong times. Looking for films with characters that are either weiros, loners or social outcasts or ones who just generally have a ifficult time interacting with other people normally.",","
263,"I watche the menu last night an love everything about it, especially the slick cinematography an amazing acting. Give me more like this!","the menu, The Menu"
264,"Fell own a Jean Claue Van Damme rabbit hole an wonering where to go next. Movies with an excess of rippe shirtlessness an a plot hopefully as strong as their pecs. The pacing in some early 80s movies ten to feel pretty slow to me, so please only recommenations that are mi/late 80s at the earliest.

Bloosport (1988)

The Quest (1996)

Universal Solier (1992)","Bloosport, Universal Solier, The Quest, Universal Soldier"
265,"Hey all, so I’m in search of some visually pleasing movies similar to Bellaonna of Saness, (oes not have to be animate) 

I absolutely love this movie an its visual aesthetic / style, please let me know if anyone can steer me in the right irection in fining movies that are similarly visually interesting :)

P.S. Other movies that I fin interesting an enjoy visually inclue: anything Miyazaki, Fantastic Planet, The Holy Mountain, Cany (1968) an others… lol (but those are just some that I can think of on the spot.)","Fantastic Planet, Cany, Bellaonna of Saness, The Holy Mountain, Miyazaki"
266,"People shoul wear formal costumes for Barbie movie same as respectful gents were oing with the Minions. Please, I bought a suit after all. 

I suggest for people to sprea this post for better cause.","the Minions, Minions, Barbie"
267,"A Cinerella kin of movie I guess, where the main character is kinhearte by nature, well-mannere, gentle, humble, quick to love an trust other human beings...

They might face ifficulties, trageies an unfairness from the surrouning worl, like from people who are obnoxious, lou an mean, the complete opposite of them; but they never change their ways or lose their faith in the gooness within people.

It nees to be very wholesome an inspiring, maybe even sort of therapeutic. It may make you wish for the same kin of strength an kinness within your own heart.

I'm open for all kin of movies, from chilren to ault. I on't min if it even comes across as slightly cheesy. I just want to see someone being so angelic an wholesome that it will give me butterflies. &gt;!(An maybe even cry)!&lt;","Cinerella, Cinderella"
268,So I starte watching Emily The Criminal the other ay an I'm about halfway through it. I'm gonna finish it toay but what are some other movies that might be similar to it? Or a goo crime movie from last year or at least a few years back,"Emily The Crimina, Emily The Criminal, Emily the Criminal"
269,"Any goo movies with a romance or o frienship between an oler woman an a younger man? Stuff like the piano teacher, notes on a scanal, the kinergarten teacher. Stuff like.

I on't care what year or country it's from as long as its goo","notes on a scanal, the kinergarten teacher, the piano teacher, piano teacher, romance or o frienship"
270,"An exploitation movie that tries to cheaply exploit/fanservice multiple emographics at the same time - black, hispanic, hanicappe, guns, revenge, feminism, conservativism, etc","black, hispanic, exploitation movie, revenge"
271,"Woul love to see a film in theatres this week but struggling on which one an woul love some suggestions. I’m really torn between Babylon, Megan, an Puss in Boots mainly. 

I’m very easy to please an will watch an enjoy pretty much anything if that helps at all ","Puss in Boots, Babylon, Megan"
272,Going on a stuy abroa trip where we won’t be able to actively stream anything so I’m neeing to ownloa a bunch of movies an shows. I love any an all suggestions for movies that aren’t scary or rom coms. Definitely going to want a few ifferent things so I’m super open to anything that comes to min! Thank you!!,","
273,"It can be like a biography movie. I genuinely enjoy seeing the journey of a person, the overcoming. Preferably with a happy ening because I want to feel inspire more than I want to cry. 

You can also suggest movies similar to The Boy Who Harnesse The Win (2019). I really enjoye that one, too. 

Thank you! ",The Boy Who Harnesse The Win
274,"I want to watch a realistic movie that takes life an people from the working class, lower mile classes, etc. with its goo an/or ba, an focuses on one or two aspects of that life (movies like American History X, showing tribalism an racism, La Haine, police brutality, City of Go, chilhoo an growing up in such an environment, etc.)","City of God, La Haine, City of Go, American History X"
275,"Think of Auntie Mame (1958), Kate Huson's character in Glass Onion (2022), or someone that Jennifer Coolige might play. I am mainly looking for larger-than-life female characters that love to ress extravagantly an can be funny when expressing their opinions too. Another reference coul be Joan Rivers' real-life persona - witty, irect, wealthy, campy.","Auntie Mame, Glass Onion"
276,"Here’s 10 of the strangest films I’ve seen this millennium but I’m looking for some more weir movie recommenations. The weirer the better! What unforgettable oities have you seen an can never unsee?

Visitor Q (2001)

Reflections of Evil (2002)

Funky Forest: The First Contact (2005)

The Waywar Clou (2005) 

Drawing Restraint 9 (2005)

Taxiermia (2006)

Ba Biology (2008)

Aaaaaaaah! (2015)

The Forbien Room (2015)

Greener Grass (2019)","Ba Biology, Funky Forest: The First Contact (2005), Reflections of Evil (2002), Taxiermia, The Forbien Room (2015), Aaaaaaaah!, The Waywar Clou (2005), Visitor Q, Visitor Q (2001), The Forbien Room, The Waywar Clou, Greener Grass, Reflections of Evil, Drawing Restraint 9 (2005), Drawing Restraint 9, Ba Biology (2008), Taxidermia (2006), Funky Forest: The First Contact, Greener Grass (2019), Aaaaaaaah! (2015)"
277,"Heyo. I'm in the moo for some war movies, an also to try something new. I'm going to make a non-comprehensive list of what I've seen to give you an iea of what I'm looking for. Ieally something reasonably gritty an grungy, more like Saving Private Ryan an less like Zulu. More like Braveheart an less like   


Braveheart  
The Patriot  
Saving Private Ryan  
Fury  
Outlaw King (Possibly my favorite battle scene of all meieval-era movies I know)  
The King  
Dunkirk (Wasn't a huge fan of this tbh)  
Inglorious Basters  
Last of the Mohicans (Again not overall a huge fan)  
Zulu  
Glaiator

We were Soliers  


  
ETC.   


Thanks!","The King, Braveheart, Fury, Dunkirk, The Patriot, Last of the Mohicans, Inglorious Basters, Outlaw King, Zulu, Saving Private Ryan, The King Dunkirk, Glaiator, We were Soliers"
278,Looking for a specific vibe of ecaent places with broken people trying to get through it or etailing simple life in very isavantage conitions - not necessarily about making it through it but rather about living it throguh - maybe even enjoying it. I have to keep writing to make wors up because rules but hope you got my point. Happy to suggest stuff back,","
279,"So movies like lor of the rings an the hobbit, willow, krull, conan the barbarian? Increible effects an cinematography is also something that I woul like.","willow, Krull, lor of the rings, the hobbit, Hobbit, Conan The Barbarian, Willow, conan the barbarian, Lord of the Rings, krull"
280,"I like plenty of non-English language movies, but very few of them have been comeies. I guess comey is harer to translate than rama sometimes.

Anyway, please recommen me some! They can be as ol as you like, from anywhere, any kin of combination of genres (not necessarily pure comeies); I' just like them to be goo.",","
281,"I'm in the moo to have a goo cry, y'all. Looking to watch some films where a relationship fails because one or both partners are toxic people. Not looking for romances that are oome by external factors like war, isasters etc. Bonus points if one or both partners totally KNOW the relationship is toxic AF an continue anyway!",","
282,"I’m looking for something fun an interesting. Easy to follow but with a goo enough plot. Night game was another that I likes. So something like that woul also be appreciate. Few others that I like area:
21/22 jump street
Super ba
The millers

So can you guys suggest something like that?","The millers, Night game, Super ba, 21/22 jump street"
283,"Theme : a person or a group of people go to or get invite to a place that seems fun, perfect or too goo to be true. Then either ba things start happening them or they start uncovering something wrong with that place.

Please on't suggest me shock-value or extreme gore.

Also if anyone knows if there is a name for these types of films lmk thanks.",","
