,Input.selftext,Answer.crowd_input
1359,im looking for a comedy starring laurence olivier rated five stars and above,","
1360,im looking for a documentary about urban living that was critically acclaimed and rated pg 13,","
1361,im looking for a fantasy movie directed by samuel l jackson thats rated pg 13,","
1362,im looking for a gangster movie,","
1363,im looking for a mockumentary from the last ten years with the actor lea solunga in it,","
1364,im looking for a movie with actor paul reiser in it,","
1365,im looking for a scary movie from the past seven decades with a rating of four stars,","
1366,im looking for a science fiction movie,","
1367,im looking for a short film starring jared leto that was liked by many rated r and made in the past four decades,","
1368,im looking for a six star movie starring vanessa marcil from the 1980 s,","
1369,im looking for a very popular 1950 movie about a midlife crisis starring spencer tracey and was rated pg 13,","
1370,im looking for a war film from the past ten years rated nc 17 and directed by putipong saisikaew,","
1371,im looking for an nc 17 biography about a mental patient released in the last eight years and directed by strathford hamilton,","
1372,im looking for an nc 17 rated film about adventure that was made in the past three years,","
1373,im looking for an ok movie rated pg 13 featuring william hurt and made in 1970,","
1374,im looking for an r rated drama from the past four decades,","
1375,im looking for an r rated movie starring michale pare that was made in the past eight decades in the thriller genre,","
1376,im looking for an emotional movie rated pg 13,","
1377,im looking for an entertainment film about from the past seven decades about a genius starring alan autry,","
1378,im looking for an unrated musical from the past two decades,","
1379,im looking for animation flicks from the last nine decades,","
1380,im looking for any drama films from the past four decades that scored at least nine out of ten,","
1381,im looking for that childrens movie starring sylvester stallone from the 1980 s,","
1382,im looking for the 1950 g rated psychological movie about a missing prisoner directed by michael staininger,","
1383,im looking for the fantasy movie from the past eight years that starred kurt russell and was about fairies,","
1384,im looking for the sports movie from 2000,","
1385,im looking for the unrated 1940 s violent movie that was liked by many and starred tom selleck,","
1386,im looking for the unrated sports film directed by lewis milestone from the past four years that was considered all right,","
1387,im searching for a 1950 s r rated watchable family movie about someone held captive,","
1388,im trying to find a pg 13 drama from the 1950 s starring levar burton,","
1389,im trying to find a very good funny movie that was filmed in 1940 do you have it,","
1390,im trying to remember the name of a pg 13 movie with brendan fletcher about a mountain climber from the past year,","
1391,im want to watch an all right western from 1980 where they search for gold,","
1392,in 1950 what really good thriller was directed by jeremy okeefe,","
1393,in 1970 was deidre hall in an unrated short film,","
1394,in 1970 was kellie martin in a pg 13 science fiction movie that was highly recommended,","
1395,in 1970 what unrated movie was maria bello in that received an average rating of seven,","
1396,in 1980 what sport movie did john dunson direct,","
1397,in 1990 what sport movie did cynthia daniel star in that was rated pg 13,","
1398,in 2010 s how many pg 13 horror movies are there,","
1399,in 2010 s what action movies was dina meyer in,","
1400,in the 1940 s what science fiction films did jesse v johnson direct,","
1401,in the 1950 s did mike barnett direct a pg 13 science fiction bounty hunter movie,","
1402,in the 1960 s did cory edwards direct an unrated sci fi that received an average rating of six,","
1403,in the 1960 s what pg 13 police film about a fugitive received eight stars,","
1404,in the 1960 s what r rated movies was brooke shields in,","
1405,in the 1980 s what military soldier movies came out,","
1406,in the 1990 s was there an r rated adventure movie that had an average rating of eight,","
1407,in the 1990 s what nc 17 biography was talisa soto in that received an average rating of six,","
1408,in the 2000 s what pg 13 was a well rated movie about drama and guilt,","
1409,in the 2000 s what movies was sheree j wilson in,","
1410,in the 2010 s was albert finney in an r rated spaghetti western,","
1411,in the last decade what history films by adam wingard were really good,","
1412,in the last five decades was there a family film that aaron woolf directed,","
1413,in the last five years was benicio del torro in a pg 13 movie,","
1414,in the last four years which movie did donnie walberg appear in that was pg 13,","
1415,in the last seven years was there an r rated violence film that received an average rating of five,","
1416,in the last six decades what movies has adam storke been in,","
1417,in the last six years has there been a film about artists with alexandre rockwell in it,","
1418,in the last ten years did gene kelly star in any very popular fantasy movies,","
1419,in the last three decades were there any emotional movies about boxing with an rating of seven starring kelly preston,","
1420,in the past decade what r rated comedy directed by milan konjevic was liked by many,","
1421,in the past decade what funny unrated movies were directed by earnest harris,","
1422,in the past decade what war movies were highly rated,","
1423,in the past nine decades did ken bruce direct a g rated sci fi about galactic war that received an average rating of eight,","
1424,in the past nine decades what movies have come out for children,","
1425,in the past seven decades was mimi rogers an many adventure films,","
1426,in the past seven years has there been a horror film starring brenden sexton jr with good ratings,","
1427,in the past year what highly recommended pg 13 adventure movie about chaos featured andy dick,","
1428,in what year was the hire hostage released,the hire hostage
1429,is billy wilder the director of inception,","
1430,is david fincher working on any drama films currently,","
1431,is david lean a highly recommended director,","
1432,is don c in traitor,","
1433,is edward norton in a science fiction movie that is just ok,","
1434,is gene hackman in any good action movies that are rated pg 13,","
1435,is george lucas the director of the science fiction movie star wars,","
1436,is geraint wyne davies a mediocre movie of war,","
1437,is heath ledger in and rated g film noir movies that got two thumbs up,","
1438,is james cagney in the shining,","
1439,is james cameron currently working on any movies,","
1440,is john travolta starring in any childrens movie,","
1441,is quentin tarantino planning on working on any animated films soon,","
1442,is robert de niro in any disaster movies,","
1443,is sweet rush eng subs a good movie to watch,sweet rush eng subs
1444,is the only good indian stars any known actors in it,the only good indian
1445,is the shining based on a true story,the shining
1446,is tim doiron a good biography director,","
1447,is it true that kate mulgrew was born in 1940,","
1448,is that movie wall e out yet,wall e
1449,is the movie lorenzos oil any good to see,lorenzos oil
1450,is the movie open season animated,open season
1451,is their a film called street revenge,","
1452,is there a 1940 hugh piper horror film with an imaginary friend,","
1453,is there a 1970 s avant garde film,","
1454,is there a bill paxton movie in the last seven decades,","
1455,is there a callie khouri highly liked 2010 s family movie,","
1456,is there a dean martin action film that was liked a lot this past year,","
1457,is there a john travolta comedy from the past two years,","
1458,is there a lea thompson movie about god that took place in the 1950 s with an average rating of six,","
1459,is there a movie with director charles stewart in the past seven years on military bravery that is good,","
1460,is there a pg documentary in the past nine decades with tim allen,","
1461,is there a pg movie starring carrot top that was rated well,","
1462,is there a pg rated crime movie which director was john hughes,","
1463,is there a pg 13 documentary about illegal operation that is watchable,","
1464,is there a pg 13 film out there from the 2000 s that focuses on an evil character,","
1465,is there a pg 13 mockumentary that is liked by many and starring nicolas cage from the last nine years,","
1466,is there a paul hunter movie that was very popular and released in 1970 with a pg rating that was about global power,","
1467,is there a r rated fantasy film which director was roman polanski,","
1468,is there a wall e movie starring robert redford,wall e
1469,is there a animation pg 13 movie with trisha romance,","
1470,is there a biographical movie by the director andrei tarkovsky,","
1471,is there a comedy with a rating of r,","
1472,is there a crime film starring robin williams,","
1473,is there a crime movie withing the last eight years that had an average eight star rating,","
1474,is there a drama good rated r 1940 s movie,","
1475,is there a evil horror movie with at least four stars,","
1476,is there a fantasy movie directed by irving lerner in the past six decades that has an average rating of six stars,","
1477,is there a film with the title f,","
1478,is there a film noir genre movie which director was mel brooks,","
1479,is there a five star jenna elfman romantic comedy type movie about an unhappy marriage set in the 1960 s,","
1480,is there a funny movie that came out recently about a misadventure,","
1481,is there a gold strike starring danny glover in the last decade,","
1482,is there a good r rated comedy about a comedy troupe,","
1483,is there a good robin williams movie that is an adventure,","
1484,is there a good action movie about redemption,","
1485,is there a good action movie based on a mission that came out in 2011,","
1486,is there a good comedy that is rated pg 13 about sexual desire,","
1487,is there a good fantasy movie,","
1488,is there a good film noir movie that can be recommended,","
1489,is there a good horror movie about a curse,","
1490,is there a good movie in the film noir genre,","
1491,is there a good psychological drama bout a struggle,","
1492,is there a good rated r military movie about camp,","
1493,is there a good romance movie i can take my girlfriend to,","
1494,is there a good romantic comedy about jealousy,","
1495,is there a good scary movie that is rated pg 13 about extrasensory perception,","
1496,is there a good sci fi movie that could be recommended,","
1497,is there a good thriller movie out,","
1498,is there a good thriller that is rated pg 13 that came out in the 2010 s,","
1499,is there a highly rated drama film that stars julie andrews,","
1500,is there a highly recommended teen movie by roman polanski thats rated g,","
1501,is there a highly recommended war movie from 1990 that johan renck directed,","
1502,is there a historical movie starring morgan freeman,","
1503,is there a historical movie which director is hayao miyazaki,","
1504,is there a historical movie which director was robert zemeckis,","
1505,is there a horror film starring charles chaplin,","
1506,is there a horror movie that centers on zombie child,","
1507,is there a horror sequel titled zombi 2,","
1508,is there a movie the shining,","
1509,is there a movie called 2001 maniacs,","
1510,is there a movie called black rain,","
1511,is there a movie called manfast,","
1512,is there a movie called one man one cow one planet,","
1513,is there a movie called seconds apart,","
1514,is there a movie called unanswered prayers,","
1515,is there a movie called wall e that was directed by roman polanski,wall e
1516,is there a movie called the night on earth,","
1517,is there a movie for children starring liam neeson,","
1518,is there a movie from 2000 that starred chris rock,","
1519,is there a movie from the 1990 s about romance and rated r starring julie andrews and has excellent ratings,","
1520,is there a movie set in the 1940 s that has a plot of a runaway that might be really popular,","
1521,is there a movie starring cary grant witch director was hayao miyazaki,","
1522,is there a movie starring james cagney,","
1523,is there a movie titled buffalo dreams,","
1524,is there a movie titled confidence,","
1525,is there a movie titled supergirl,","
1526,is there a movie titled wall e,","
1527,is there a movie which director was mel brooks,","
1528,is there a movie with six stars rated r with fantasy,","
1529,is there a musical movie which director is francis ford coppola,","
1530,is there a rated g western movie with director faith granger,","
1531,is there a rated r biography within the past five years that received well ratings,","
1532,is there a really good love movie about falling in love in the 1940 era,","
1533,is there a really popular confession r rated starring howard stern,","
1534,is there a romance very popular film with robert pratten in the past eight decades,","
1535,is there a sci fi past eight decades ago that was directed by tim hill,","
1536,is there a seven rating rated g musical starring tea leoni,","
1537,is there a short dean stockwell movie rated nc 17 from the past eight decades,","
1538,is there a short movie,","
1539,is there a spaghetti western about a sheriff with an average rating,","
1540,is there a sport movie with a rating of pg 13 starring katherine hepburn,","
1541,is there a very popular pg rated romantic comedy about adoption set in the 1940 s starring tim robbins,","
1542,is there a war movie which director was frank capra,","
1543,is there a well rated western movie starring jack lemmon,","
1544,is there a western movie rated nc 17 and directed by grant harvey,","
1545,is there a western movie starring charlton heston,","
1546,is there an r rated childrens movie about sibling rivalry in the 1980 s that was rated a seven on average,","
1547,is there an r rated fantasy directed by robert taylor that is liked by many,","
1548,is there an action movie starring sean connery,","
1549,is there an action movie that centers on vigilante,","
1550,is there an action movie within the last six decades that has a rating of seven stars,","
1551,is there an all right 1960 s mockumentary from steven dupler with an r rating,","
1552,is there an animated movie that is directed by christopher nolan,","
1553,is there an avant garde movie starring angelina jolie,","
1554,is there an inception movie starring heath ledger,inception
1555,is there an underground documentary from 1980 rated pg 13,","
1556,is there an unrated adventure film released this year that was directed by michael campus and was considered ok,","
1557,is there any r rated history movie filmed in the year 1950 which received a rating average of seven,","
1558,is there any r rated portrait film starring billy bob thornton,","
1559,is there any documentary films about religion that received two thumbs up,","
1560,is there any drama movie witch director is federico fellini,","
1561,is there any good adventure films that were made this year,","
1562,is there any good mockumentary films coming out this year,","
1563,is there any good rated r crime movies coming out next month,","
1564,is there any good teen movies that are supposed to be coming out this year,","
1565,is there any historical movies about world war 2 coming out this year,","
1566,is there any movie for children witch director was terrence malick,","
1567,is there any rated g military movies,","
1568,is there any really good fantasy movies that came out in 2011,","
1569,is there any scary sequels coming out soon like another saw movie,","
1570,is there any western films about mining,","
1571,is there any western films that are rated g,","
1572,is there biographical movie witch director is fritz lang,","
1573,is there five stars and above rating spaghetti western movie made in 1960 s,","
1574,james spader acted in which middle earth fantasy movie in 1970,","
1575,jennifer lien starred in this action film of the the last six years that received a really good rating,","
1576,june lockheart was featured in this unrated animation film of the last decade,","
1577,ken shapiro directed a pg 13 fantasy movie about an evil wizard have you seen this in the last nine years,","
1578,list home alone 4,","
1579,list lucille ball movies rated a five,","
1580,list pg 13 rated independent movie which director was steven soderbergh and people said that i must see,","
1581,list pg 13 history movies from last year,","
1582,list pg 13 movies about love and depression with john cusak in the past ten years,","
1583,list r rated movies starring clint eastwood in the last ten decades with a fugitive plot style,","
1584,list samuel l jackson movies,","
1585,list the shining film starring clark gable,the shining
1586,list a 1950 s spaghetti western that involves indian and is rated pg 13,","
1587,list a 1980 biography that was liked by many,","
1588,list a 1990 rufus sewell adventure movie that was rated well,","
1589,list a 2000 s teen movie directed by federico fellini,","
1590,list a christopher lloyd animation movie from the past nine years,","
1591,list a david lean musical,","
1592,list a humphrey bogart thriller,","
1593,list a nc 17 rated military films directed by zelda barron in 1980 that was ok,","
1594,list a nc 17 rated movie with actress kathie lee gifford from the year 1940,","
1595,list a pg biography from 1970 s,","
1596,list a pg rated fantasy movie,","
1597,list a pg rated funny movie that centers on road trip,","
1598,list a pg 13 rated teen movie made in 1950 s starring mel gibson,","
1599,list a pg 13 biography film that centers on mafia directed by david green for the past five years,","
1600,list a pg 13 film from the past three decades starring chase masterson,","
1601,list a tom hanks thriller,","
1602,list a wall e movie which director were the coen brothers,wall e
1603,list a wall e movie,wall e
1604,list a biographical movie that has excellent ratings starring john travolta,","
1605,list a chick film in the past ten decades,","
1606,list a comedy from 1950 with a ratings average of five stars starring andre braugher,","
1607,list a comedy movie,","
1608,list a crime film directed by jonathan demme,","
1609,list a critically acclaimed 1990 nc 17 sci fi film,","
1610,list a disaster movie that is highly recommended,","
1611,list a drama film within the last four decades with actor curly howard,","
1612,list a eight stars nazi movie in the year 2000 s directed by sean doyle,","
1613,list a film like olly olly oxen free,","
1614,list a film noir which director was ingmar bergman,","
1615,list a film starring della reese,","
1616,list a funny movie which centers on road trip,","
1617,list a gangster film with a nc 17 rating directed by sean ellis in the year 2010,","
1618,list a good biography directed by federico rivia,","
1619,list a good thriller movie made in 1960 s starring cate blanchett,","
1620,list a highly liked horror film that is rated r,","
1621,list a horror film about corporal punishment from the past six decades directed by darren stein,","
1622,list a kid film about growing up,","
1623,list a move of the gags genre that was directed by j s cardone and uses satire in its plot,","
1624,list a movie wall e,","
1625,list a movie about family betrayal directed by arthur marks,","
1626,list a movie like moontrap,","
1627,list a movie starring edward norton,","
1628,list a movie starring tom hanks,","
1629,list a musical directed by susan muska,","
1630,list a must see rated g movie about an alien hunter with actor ginger rogers,","
1631,list a must see thriller made last year but is pg 13,","
1632,list a police film,","
1633,list a psychological drama movie that centers on lost experiences,","
1634,list a rated nc 17 war movie this year,","
1635,list a rated r watchable christopher walkin film noir,","
1636,list a really good action film thats rated pg 13,","
1637,list a really good crime pg 13 rated movie starring morgan freeman,","
1638,list a romantic drama movie,","
1639,list a sci fi movie,","
1640,list a science fiction pg 13 film with william forsythe,","
1641,list a short film last year with sissy spacek,","
1642,list a six stars and above rating romantic comedy starring vivien leigh,","
1643,list a six stars horror film within the last six years with robin wright,","
1644,list a spaghetti western movie,","
1645,list a suspense movie within the past three years,","
1646,list a teen movie thats rated pg 13 that received a five stars and above rating,","
1647,list a thriller film starring meryl streep,","
1648,list a very good movie for children starring nicole kidman,","
1649,list a war film starring robert evan,","
1650,list a watchable tommy lee jones r 1960 s movie,","
1651,list a well rated pg 13 teen movie,","
1652,list action movies that star satoshi kon,","
1653,list adventure films all about air battles released within the last year that were rated a six,","
1654,list all 1950 s bounty hunter themed r rated movies that got nine stars and had matthew porretta in them,","
1655,list all g rated movies about a road trip that received an average rating,","
1656,list all r rated film noir movies,","
1657,list all adventure movies that came out in 2000,","
1658,list all fantasy movies that have been released in the past decade,","
1659,list all horror movies directed by amos kollek in the past five decades,","
1660,list all romance movies made in 1950,","
1661,list all tales that were rated r,","
1662,list an inception movie which director was frank capra,inception
1663,list an nc 17 rated biography film that centers on composer staring fisher stevens in the last nine decades,","
1664,list an pg rated action jujitsu with ratings average nine starring peter cushing in 1990,","
1665,list an pg 13 eight star movie with robert ri chard in the year 1950,","
1666,list an r rated drama starring yasmine bleeth,","
1667,list an r rated film that centers on quest with excellent ratings for the past decade,","
1668,list an r rated highly recommended political film from the past year,","
1669,list an r rated thriller that stars jimmy smits and has an eight star rating,","
1670,list an adventure movie in the 1960 s about an information team directed by aleks rosenberg,","
1671,list an animation from the past three years that has excellent ratings and andrew douglas is the director,","
1672,list an eight stars and above independent movie starring judi dench,","
1673,list an emotional affair movie from director j mackye gruber that is rated pg 13 in 1960,","
1674,list an emotional movie during the year 1990 s,","
1675,list an independent movie starring judi dench,","
1676,list an independent movie,","
1677,list an unrated adventure from the past ten decades,","
1678,list an unrated must see drama,","
1679,list childrens movies that included john wayne in the cast,","
1680,list crime movies from the 2000 s that were rated nc 17,","
1681,list documentaries that had robert downey jr in them,","
1682,list fantasy movies from past seven decades,","
1683,list good g rated documentaries about religion,","
1684,list horror movies directed by paul abascal that was liked by many,","
1685,list independent movie starring audrey hepburn,","
1686,list movies that starred charlton heston,","
1687,list of pg 13 adventure movies from 2010,","
1688,list rated pg 13 crime films that centers assassination attempt starring christopher walkin,","
1689,list rated r comedy within last seven years,","
1690,list romance films starring barbara eden,","
1691,list scary movies with a terror centric plot,","
1692,list several funny films,","
1693,list six rating pg 13 animation films in 2010,","
1694,list six rating food poisoning entertaining films starring helen hunt,","
1695,list some g rated family movies from jerry london,","
1696,list some classic mystery films,","
1697,list some comedy movie,","
1698,list some good sport movies from the past decade,","
1699,list some movies featuring graphic sexual horror,","
1700,list some really good mystery movies,","
1701,list the g rated films with susan hargrove from the 1960 s,","
1702,list the animation films that were rated five stars,","
1703,list the documentary films that came out in the past ten years,","
1704,list the film wall e,","
1705,list the films directed by roland emmerich from the past nine years that involved indians,","
1706,list the plot of excess baggage,","
1707,list the science fiction films directed by deborah kaplan from the last six decades that was rated very good by viewers,","
1708,look up the movie title i love hong kong,","
1709,looking for a movie with a military setting and that some folks might call mediocre that took place in the past decade,","
1710,looking for an ok terrorist film to watch,","
1711,looking for an average rated r crime movie that stars known actors,","
1712,mention an unrated horror movie from director lamberto bava,","
1713,michael bay action movie,","
1714,movie information on south of the border,","
1715,my husband wants to see the film noir rated nc 17 with nicole kidman in it,","
1716,name a 1950 wilderness film for children,","
1717,name a 2010 s drama,","
1718,name a bruce boxleitner comedy that is rated g,","
1719,name a jonathan segal fantasy film,","
1720,name a pg 13 film from the 2000 s that starred kathie lee gifford,","
1721,name a rick bieber directed family film rated pg 13 from the past nine decades,","
1722,name a sport themed movie directed by chris nahon that everyone says you must see,","
1723,name a comedy released in 1940,","
1724,name a critically acclaimed adventure film directed by dennis hopper,","
1725,name a dark peta wilson movie,","
1726,name a drama film that is rated r,","
1727,name a film about a kung fu master,","
1728,name a film that stars deidre hall and was released in the past six decades,","
1729,name a highly liked r rated funny film released in the last five decades,","
1730,name a musical that was directed by billy wilder,","
1731,name a mystery with a serial killer that was rated seven,","
1732,name a seven star r rated biography released in 2000 that stars bruce willis,","
1733,name a thriller of the 1990 s with an average rating of nine,","
1734,name a very good pg 13 rated drama,","
1735,name all pg 13 movies from the past four decades starring spencer tracey,","
1736,name all movies in the past ten decades that star jonathon saech,","
1737,name all the r rated dramas that had a rating of four stars that starred alberta watson,","
1738,name an actor from stargate sg 1 children of the gods final cut,","
1739,name an emotional film from 2000 that is highly liked,","
1740,name decently rated fun party movies of the past nine decades,","
1741,name some 1950 s history movies,","
1742,name the 1940 s military movie by directory florian baxmeyer with a government assassin plot,","
1743,name the harold f kress unrated film with good ratings that centers on a parole hearing,","
1744,notorious is an instant classic,notorious
1745,pg 13 comedy directed by scott f evans,","
1746,please list a 1940 s short movie rated pg 13 starring jon stewart,","
1747,please list a kids move about being held captive that is rated r and was released in the past year,","
1748,please list any movies about sports,","
1749,please list film noir movies,","
1750,please list movies in the crime genre that were given an average rating of six,","
1751,please list some mediocre film noir movies released in the past two decades directed by robert hiltzik,","
1752,please provide a list of several r rated war movies,","
1753,please suggest some animation movies from the past nine decades,","
1754,please tell me where i can find a fantasy movie,","
1755,ray brady directed sci fi pg 13 this year with ratings of eight,","
1756,recall a crime movie released in the last five decades that was directed by jesse t cook,","
1757,romance movies with average ratings,","
1758,rose jackson starred in this g rated film of the 2010 s,","
1759,show a family movie with a ratings average of five,","
1760,show me all action films that were rated very good,","
1761,show me all unrated scary moves about gore,","
1762,show me information about marine boy,","
1763,show me information about prime,","
1764,show me some movies about witches,","
1765,tell me about green lantern emerald knights,","
1766,tell me about a highly rated animation film starring theresa randall,","
1767,tell me about the movie lemonade mouth,","
1768,tell me about the movie little children,","
1769,tell me if there is a well rated comedy with robert duvall in it,","
1770,tell me some 1950 s adventure movies that are about a fight,","
1771,tell me some movies starring al lewis,","
1772,tell me the name of a susan seidelman tale movie that came out in the past two decades and was about a warthog,","
1773,that comedy was so funny that id give it ten stars,","
1774,the tree came out when,the tree
1775,the actor brad renfro starred in the highly recommended film noir in the 1960 s,","
1776,the director april maiya directed many romantic wedding movies in the 2000 s,","
1777,the movie blue steel,","
1778,the movie the wind that shakes the barley what is it about,the wind that shakes the barley
1779,the name of the fantasy movie with billy bob thornton that was given two thumbs up,","
1780,theres this one brendan fraser movie from 2000 i think its pg 13 im trying to find more information,","
1781,this 1950 horror film was directed by alex chapple,","
1782,this mockumentary of the last decade received four stars,","
1783,tim abell was featured in what g rated 1970 s italian american film with an average rating of four,","
1784,unrated mystery in the past seven years that has four stars,","
1785,wanted to know if in the past two years has there been an all right action movie that came to have a standoff,","
1786,wanted to know is there a rated r movie set in war made in 2010 that has the actor yasmine bleeth in it,","
1787,was anne bancroft in a movie about mexico last year,","
1788,was bruce boxleitners 1950 movie rated r,","
1789,was cate blanchett in any independent films,","
1790,was charlton heston ever in a romantic comedy,","
1791,was david lynch offered to direct the shining,","
1792,was gene hackman ever a narrator for a biographical film,","
1793,was guillermo del toro ever in any western films,","
1794,was hugh jackman ever in an r rated war film that is highly recommended,","
1795,was humphrey bogart in a western movie that has excellent ratings,","
1796,was humphrey bogart in any good children movies,","
1797,was humphrey bogart in any good thriller films,","
1798,was ian mckellen offered a role in the shining,","
1799,was john travolta ever in a movie about disaster,","
1800,was kriss kristopherson in a mediocre pg biography,","
1801,was matt damon even alive when the shining was made,the shining
1802,was nicole kidman in any r rated adventure movies,","
1803,was nikki cox in an animation movie,","
1804,was pam grier in an r rated movie that critics said was very good,","
1805,was samuel l jackson in any crime movies in the 1960 s when he was a child,","
1806,was vivien leigh in a musical that was rated r and received nine stars and above,","
1807,was that michael bergin scary pg 13 movie made in the 2000 s all right,","
1808,was there a biography about jeff bridges made in the last year,","
1809,was there a crime movie with cheech marin in 1970,","
1810,was there a decent watchable romance in the past year that starred tim roth,","
1811,was there a highly recommended romance released in the 1960 s,","
1812,was there a movie called bronson,","
1813,was there a science fiction last year,","
1814,was there a very good film starring jane seymour the debuted in 1950,","
1815,was there an r rated family movie starring chad fees that got nine stars that was released in the past eight decades,","
1816,was there ever a movie about a magic book that was rated nc 17,","
1817,were there many family movies liked by many in 1940,","
1818,what 1940 family movie starring kevin anderson was about a childhood sweetheart,","
1819,what 1940 hit received all right ratings and was based on a culture clash directed by mark romanek,","
1820,what 1950 action movie stars clancy brown,","
1821,what 1950 mockumentary had eight stars starring james garner,","
1822,what 1950 s war movies are about snipers,","
1823,what 1960 film about an information team got two thumbs up and featured actor melinda clarke,","
1824,what 1960 s drama received good ratings,","
1825,what 1970 short film directed by james de frond got a pg 13 rating,","
1826,what 1980 s cowboy film was directed morten lindberg,","
1827,what 1980 s horror movie starred james cagney,","
1828,what 1990 horror movie about demons was directed by philip adrian booth,","
1829,what 1990 s animation film was rated g,","
1830,what 2000 highly recommended kristen scott thomas movie about a runaway was rated nc 17,","
1831,what 2010 pg rated adventure film stars wayne a harold,","
1832,what 2010 movies did robert evan star in,","
1833,what 2010 well rated romantic comedy about friends starred kim delaney and received an r rating,","
1834,what 2010 s movie starring david caruso is about a utopia,","
1835,what bentley dean kid movie in the last seven years received excellent ratings,","
1836,what carroll oconner musical is liked by many,","
1837,what g rated 1980 disaster movie that was directed by yi seung jun with a ratings average of eight called,","
1838,what g rated horror movie released within the last four years that was directed by william richert,","
1839,what g rated movie with moira kelly was produced in the 1990 s and was received well,","
1840,what g rated tale was liked a lot,","
1841,what gary cooper thriller in the last nine years has a very popular rating,","
1842,what humphrey bogart movie would a family in the 1990 s find really popular,","
1843,what jose quiroz romances have come out in the past seven years,","
1844,what nc 17 movie starred dean stockwell,","
1845,what nc 17 movies about women received eight stars,","
1846,what nc 17 sport movie did chris farley star in that received mediocre ratings,","
1847,what ok crime movie was directed by taylor hackford,","
1848,what pg and well rated movie stars tyra banks within the laugh genre,","
1849,what pg movie released within the last two years featured david cassidy and was liked by many,","
1850,what pg 13 romantic comedy starred tom hanks,","
1851,what pg 13 war movie has spencer tracy starred in,","
1852,what pg 13 rated documentary about politics was made in the 1990 s,","
1853,what pg 13 james bedford mystery got two thumbs up in the 1980 s,","
1854,what pg 13 animation movie was liked by many and starred jonathon pryce,","
1855,what pg 13 bandolero movie was aaron kwok in that received five stars,","
1856,what pg 13 crime movie starring danny devito was released within the last ten years and received an ok rating,","
1857,what pg 13 fantasy movie did jane fonda star in that got good ratings,","
1858,what pg 13 film was based on alien intrusion,","
1859,what pg 13 films have an occult plot,","
1860,what pg 13 movie about an investigation did david green direct and get an average rating of seven stars,","
1861,what pg 13 movie did warren p sonoda direct about the western times in the 1970 s that received mediocre ratings,","
1862,what pg 13 movie with an average rating of nine stars michael pare,","
1863,what pg 13 mystery movies of the 2010 s are at least four stars rating,","
1864,what pg 13 rated film directed by john huston had a prisoner of war plot and an average rating of seven stars,","
1865,what r rated movies did robert vaughn star in this year,","
1866,what r rated rebel movie was peta wilson in that received an average rating of five,","
1867,what r rated suspense movies came out in 1990,","
1868,what r rated western with a rating of eight that was directed by ken wheat,","
1869,what r rated howard stern movies are there from the past two decades,","
1870,what r rated movie was released this year about the 1960 s that has an eight star rating,","
1871,what r rated short came out in 2010 and was rated average,","
1872,what rachel perkins short came out in 1940,","
1873,what rated r evil and scary movies from mihalis kakogiannis came out last year,","
1874,what spike lee movie stars clint eastwood,","
1875,what tanya hamilton directed biography received a ok rating,","
1876,what western movies are there from the 2010 s,","
1877,what woody allen film s featured paul newman,","
1878,what action films earned a rating of five stars and above,","
1879,what actor stars in a pg 13 action movie set in the year 1940 that was received well,","
1880,what adventure movie about a secret mission rated pg 13 starring moira kelly and released last year averaged seven stars,","
1881,what adventure movie about murder that was released in the last decade got nine stars and starred jerry obach,","
1882,what adventure movies did dave r watkins direct,","
1883,what are all the musicals from the 2000 s,","
1884,what are any titles of horror films rate r from the past nine years starring joe pantiliano,","
1885,what are movies with the word ringmaster in the title,ringmaster
1886,what are several titles of must see films rated r about fantasy and cruelty from the past three decades,","
1887,what are several titles of unrated action movies starring jason priestley,","
1888,what are some ok r biographys that came out in the 1970 s,","
1889,what are some pg movies that came out last year and had something to do with the british,","
1890,what are some pg 13 thrillers,","
1891,what are some r rated drama films that were directed by john geddes,","
1892,what are some r rated fantasy movies by guy magar,","
1893,what are some r rated gangster movies from the 1990 s,","
1894,what are some r rated military movies,","
1895,what are some r rated movies that combine adventure and cia espionage,","
1896,what are some r rated western movies that received ten stars,","
1897,what are some action films that are pg 13,","
1898,what are some animation movies that received nine stars,","
1899,what are some childrens films directed by george lucas,","
1900,what are some classic action films,","
1901,what are some classic military movies,","
1902,what are some classic mystery films,","
1903,what are some dramas starring james stewart,","
1904,what are some fantasy movies directed by glen morgan in the past three decades,","
1905,what are some fantasy movies in the past six years directed by corey yuen,","
1906,what are some good drama films,","
1907,what are some good kids movies starring adrian pasdar,","
1908,what are some highly rated thriller films about being haunted that are rated r,","
1909,what are some history movies rated r with an average rating of six,","
1910,what are some independent films,","
1911,what are some must see westerns from the 1950 s,","
1912,what are some police themed movies from the 1990 s,","
1913,what are some really good crime films,","
1914,what are some sci fi g rated films from 1970,","
1915,what are some science fictions films that have randolph mantooth in them,","
1916,what are some spaghetti westerns that were received well,","
1917,what are some titles of animation films directed by tomm coker that received average ratings,","
1918,what are some titles of any spy films rated r that were directed by rob walker from the last two years and liked by many,","
1919,what are some titles of crime films from the 1950 s,","
1920,what are some very popular documentary movies rated r from the 2010 s,","
1921,what are some well known independent films from the 1960 s,","
1922,what are the pg 13 fight movies that were well rated and lasted seven years,","
1923,what are the best disney movies,","
1924,what are the movies released the last eight years with james dean,","
1925,what are the names of all the actors in 1960 s suspense movies dealing with survival,","
